                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6751,                 1.5805,                 1.3123,                0.65831,                0.49489,                0.51453,                0.28831,                 1.6725,                 1.3092,                 1.2251,              0.0033316,              0.0033316,              0.0033316
                      2,                 1.4909,                 1.0948,                 1.1844,                0.67608,                0.50362,                0.51661,                0.30241,                 1.6081,                 1.2459,                 1.2148,              0.0065989,              0.0065989,              0.0065989
                      3,                  1.516,                 1.1232,                  1.201,                0.63646,                 0.4587,                0.47406,                0.27509,                 1.6168,                 1.3983,                 1.2181,              0.0098003,              0.0098003,              0.0098003
                      4,                 1.5129,                 1.1266,                 1.2074,                0.67497,                0.49855,                0.53486,                0.31763,                 1.5521,                 1.2888,                 1.2001,               0.009703,               0.009703,               0.009703
                      5,                 1.4468,                 1.0262,                  1.177,                0.66494,                0.53545,                0.57673,                0.35409,                 1.4992,                 1.1419,                 1.1736,               0.009604,               0.009604,               0.009604
                      6,                 1.4027,                0.96519,                 1.1568,                0.70113,                0.55958,                0.59608,                0.35806,                 1.4724,                 1.1129,                 1.1567,               0.009505,               0.009505,               0.009505
                      7,                 1.3597,                0.92501,                 1.1378,                0.74183,                0.55694,                0.60557,                0.38964,                   1.42,                 1.0698,                 1.1356,               0.009406,               0.009406,               0.009406
                      8,                 1.3298,                0.89236,                 1.1245,                0.67749,                0.59821,                0.63935,                0.40522,                 1.4057,                0.98104,                  1.126,               0.009307,               0.009307,               0.009307
                      9,                 1.3019,                0.86776,                 1.1128,                0.75708,                0.61244,                0.65053,                0.41177,                 1.3868,                0.96051,                 1.1132,               0.009208,               0.009208,               0.009208
                     10,                 1.2824,                0.84573,                 1.1014,                 0.6853,                0.61327,                0.64735,                0.42084,                 1.3531,                0.93831,                 1.1054,               0.009109,               0.009109,               0.009109
                     11,                 1.2588,                0.82597,                  1.092,                0.70049,                0.61752,                0.65744,                 0.4332,                 1.3328,                0.92831,                 1.0946,                0.00901,                0.00901,                0.00901
                     12,                 1.2451,                0.81192,                 1.0853,                0.73422,                 0.6358,                0.68186,                0.44952,                 1.3248,                0.88548,                 1.0882,               0.008911,               0.008911,               0.008911
                     13,                 1.2337,                0.79653,                 1.0804,                0.72331,                 0.6335,                 0.6803,                0.45108,                 1.3219,                0.87378,                 1.0889,               0.008812,               0.008812,               0.008812
                     14,                 1.2163,                 0.7841,                 1.0745,                0.74378,                0.65631,                 0.7011,                0.46231,                 1.3116,                0.86547,                 1.0852,               0.008713,               0.008713,               0.008713
                     15,                 1.2046,                 0.7736,                 1.0681,                0.79069,                0.66696,                0.70854,                0.46903,                 1.3082,                0.84974,                 1.0801,               0.008614,               0.008614,               0.008614
                     16,                 1.1983,                 0.7663,                 1.0655,                0.79061,                0.65732,                 0.6998,                0.47078,                 1.2926,                0.83849,                 1.0767,               0.008515,               0.008515,               0.008515
                     17,                 1.1844,                0.75378,                 1.0623,                0.79721,                0.66472,                0.70676,                0.47659,                 1.2921,                 0.8321,                 1.0759,               0.008416,               0.008416,               0.008416
                     18,                 1.1745,                0.74558,                 1.0564,                0.74294,                0.66911,                0.70985,                0.48034,                 1.2852,                0.81765,                 1.0727,               0.008317,               0.008317,               0.008317
                     19,                 1.1686,                0.73604,                 1.0541,                0.73772,                0.66962,                0.71178,                0.48127,                 1.2795,                0.81748,                 1.0705,               0.008218,               0.008218,               0.008218
                     20,                 1.1629,                0.72936,                  1.054,                0.72812,                0.67448,                0.70992,                0.48306,                 1.2739,                0.80429,                 1.0697,               0.008119,               0.008119,               0.008119
                     21,                 1.1526,                0.72512,                 1.0475,                0.76744,                0.68907,                0.72678,                0.49351,                 1.2697,                0.79996,                 1.0675,                0.00802,                0.00802,                0.00802
                     22,                 1.1489,                0.71956,                 1.0476,                0.81312,                 0.6831,                 0.7295,                 0.4959,                 1.2641,                0.79732,                 1.0647,               0.007921,               0.007921,               0.007921
                     23,                 1.1402,                0.71374,                 1.0438,                0.80468,                0.68894,                0.73475,                0.49898,                 1.2653,                0.79168,                 1.0629,               0.007822,               0.007822,               0.007822
                     24,                 1.1354,                0.70341,                 1.0394,                0.77155,                0.69979,                0.73393,                 0.5013,                 1.2598,                0.78309,                 1.0621,               0.007723,               0.007723,               0.007723
                     25,                 1.1329,                0.70079,                 1.0375,                0.80797,                0.69841,                0.73817,                0.50342,                 1.2577,                0.77797,                 1.0624,               0.007624,               0.007624,               0.007624
                     26,                 1.1212,                  0.688,                 1.0316,                0.81775,                0.69182,                0.73541,                 0.5039,                 1.2566,                0.77524,                 1.0612,               0.007525,               0.007525,               0.007525
                     27,                 1.1176,                0.69015,                 1.0319,                0.74178,                 0.7056,                0.73661,                0.50479,                 1.2541,                0.77595,                 1.0606,               0.007426,               0.007426,               0.007426
                     28,                 1.1089,                0.67927,                 1.0288,                0.74476,                0.70509,                0.73803,                0.50597,                 1.2525,                0.77204,                 1.0604,               0.007327,               0.007327,               0.007327
                     29,                 1.1106,                0.67813,                  1.028,                0.75922,                0.69405,                0.74071,                0.50884,                 1.2505,                0.76951,                 1.0596,               0.007228,               0.007228,               0.007228
